participant,group,eng_variety,spn_variety,have_ln,check_pass,check_fails,eq_score
5fb33ec89c2b44a71c2cd5df,learner,Midwest,Mexico,no,1,0,40
5fb41bf3f84c7006ac8e30f2,learner,Midwest,United States,no,1,0,39
5fb596ff69ed590fff92ba8f,learner,Midwest,United States,no,1,0,48
5fb6da2d039b27111314d871,learner,Midwest,Spain,no,1,0,46
5fb6f3bc48d534199270ad38,learner,Midwest,United States,no,1,0,27
5fb87ecac3b7885df134405a,learner,Midwest,I am not familiar with Spanish,no,1,0,26
5fb93ffbd40ee27661244708,learner,Midwest,Mexico,no,1,0,46
5fb9689421064d7ff5f5243e,learner,Midwest,United States,no,1,1,44
5fbd1e2fb3756f06700d2475,learner,Northeast,I am not familiar with Spanish,yes,1,0,21
5fc004cdd7890e102cc48ce6,learner,Midwest,Mexico,no,1,0,19
5fc00932d6371d37ee128423,learner,East coast,Mexico,no,1,0,61
5fc51d23152a5a0008a1956c,learner,East coast,Mexico,no,1,0,37
5fc663e511783d0a0e619de1,learner,Northeast,United States,no,1,0,48
5fc8232ac3b2ae180fa1a39b,learner,West coast,United States,no,1,1,41
5fce532e51f670000a2a1410,learner,Midwest,Mexico,no,1,0,25
5fcf286268f4c722183af975,learner,South,Mexico,no,1,0,23
5fd4335c2d643f1a0ed65cb7,learner,Midwest,Mexico,no,1,0,24
5fdf9d13a6a9ed7d8efd0b69,learner,Midwest,United States,no,1,0,20
5febbf353cc53cce4cec36e3,learner,Midwest,Costa Rica,no,1,0,49
5fecd5fa7e067ae6bd9cc8d2,learner,South,I am not familiar with Spanish,no,1,0,33
5fed01281d6cb4f2fef20220,learner,Northeast,Costa Rica,no,1,0,48
5feef07e0ad48b201b5ad5fe,learner,Northeast,I am not familiar with Spanish,no,1,0,28
5ff1e7e39f4b9e67a53f893a,learner,Northeast,I am not familiar with Spanish,no,1,1,43
5ff364b2c9707d906a0fc44e,learner,Midwest,Colombia,no,1,0,56
5ff8b291840bed124061d389,learner,East coast,Mexico,no,1,0,48
5ffef0a1255d0c5fd3bdfd6a,learner,East coast,Mexico,no,1,0,42
6005a135fff7b6818a99fd87,learner,East coast,Mexico,no,1,0,17
600b0f7fa045ed0f806f01e2,learner,Northeast,I am not familiar with Spanish,no,1,0,36
600be42e32909325b20ab5f0,learner,Midwest,Mexico,no,1,0,29
600e9f3d9b955475336971bb,learner,South,I am not familiar with Spanish,no,1,0,24
600f3bb4c3125f0d2a2f0d36,learner,East coast,Mexico,no,1,0,23
60105552a0d121342846b31a,learner,Northeast,Mexico,no,1,0,42
601228de8f04be234171ca8f,learner,Northeast,Mexico,no,1,0,38
601840b15165f20756c64e0f,learner,East coast,Mexico,no,1,0,34
601c454a1e2f3c720321470b,learner,Midwest,Mexico,no,1,1,28
601c8b5b02683a7e54b93aeb,learner,Northeast,Spain,no,1,0,31
601e15660cc54b258b587d3d,learner,Northeast,Mexico,no,1,0,49
601f04fb235cb14020c7a96f,learner,Midwest,Mexico,no,1,0,52
6021d935ae778527962c9fd3,learner,East coast,Spain,no,1,1,9
6021f6c1f883e82b11739f31,learner,Midwest,Puerto Rico,no,1,1,50
6023df587f535406af0c7fcb,learner,East coast,Spain,no,1,0,42
6026adf0704fd23a5dc0ee32,learner,Midwest,United States,no,1,0,14
60274b8abca008526ce6433c,learner,Midwest,United States,no,1,0,53
602854edbf92e76fc9c56355,learner,Northeast,Spain,no,1,0,37
602c790b7597b0571b1e1472,learner,East coast,United States,no,1,0,38
60307e9acd3854f1656ac658,learner,Midwest,Mexico,yes,1,0,44
603401117dd0c2000a1cb8e6,learner,Midwest,I am not familiar with Spanish,no,1,1,27
603414a536144802cda025f5,learner,Northeast,United States,no,1,0,24
60368a98238695837a78529b,learner,East coast,United States,no,1,0,65
6037034f07abbf728431e247,learner,Midwest,I am not familiar with Spanish,no,1,1,26
603cf23d1967b3b1cc9a2df0,learner,East coast,United States,no,1,0,37
603d631cffe72fc0ff456cc2,learner,Northeast,United States,yes,1,0,43
6041a2482c6bef1ae8fdd51e,learner,Midwest,United States,no,1,0,48
604243ad9743df09e0f72587,learner,Midwest,Mexico,no,1,0,63
60439d78a013a237855f2ac8,learner,East coast,Spain,no,1,0,64
60441fcec87598475f6a829f,learner,Midwest,Mexico,no,1,0,24
6044d8e1c960ed56b4b31fe7,learner,Northeast,Peru,no,1,0,39
6047be65ca7cb2053e6aa926,learner,Northeast,United States,no,1,0,19
60480a1f6a283e139e6757b6,learner,Northeast,Dominican Republic,no,1,0,24
60485c6bfddf0e195cb18b62,learner,South,I am not familiar with Spanish,no,1,0,14
60498abf0459d95ae80f42ac,learner,Northeast,Costa Rica,no,1,0,17
604d09c45aedf7f70c3c66bf,learner,East coast,Mexico,no,1,0,21
604d547ca4ba0b35e56b2594,learner,East coast,I am not familiar with Spanish,no,1,0,39
60514fe20a8ea24a26a96e85,learner,East coast,Mexico,no,1,0,43
60555b56af1bc30f5d438bd2,learner,Northeast,United States,no,1,0,33
6055710aefbed49cbc6c872b,learner,West coast,I am not familiar with Spanish,no,1,0,15
6057880f8633bbd79c6f10d8,learner,Northeast,United States,no,1,0,36
605796ef0a4b32599655c385,learner,East coast,Puerto Rico,no,1,0,40
60579ed57a769950e21bcda2,learner,East coast,United States,no,1,0,48
midd01,learner,Northeast,Honduras,no,1,0,29
midd02,learner,Midwest,Puerto Rico,yes,1,0,44
midd03,learner,Midwest,Spain,no,1,0,31
midd04,learner,Northeast,Colombia,yes,1,0,33
midd05,learner,Northeast,Spain,no,1,0,57
midd06,learner,Midwest,Spain,yes,1,0,46
midd07,learner,West coast,Spain,no,1,0,57
midd08,learner,Midwest,United States,no,1,0,28
midd09,learner,East coast,Spain,yes,1,0,66
midd11,learner,Midwest,Costa Rica,no,1,0,54
midd12,learner,South,United States,yes,1,0,47
midd13,learner,Southwest,Spain,no,1,0,54
midd14,learner,West coast,Spain,yes,1,0,33
midd15,learner,East coast,Spain,yes,1,0,40
midd17,learner,Southwest,Mexico,no,1,0,68
midd19,learner,Midwest,Mexico,no,1,0,42
midd22,learner,Midwest,Spain,yes,1,0,37
midd24,learner,South,United States,no,1,0,45
midd25,learner,Northeast,Spain,yes,1,0,39
midd26,learner,Northeast,United States,no,1,0,33
midd27,learner,Northeast,Spain,yes,1,0,44
midd28,learner,Midwest,Colombia,yes,1,0,59
midd29,learner,South,Spain,no,1,0,35
midd30,learner,Northeast,Spain,no,1,0,38
midd31,learner,East coast,Mexico,no,1,0,58
