participant,group,eng_variety,spn_variety,have_ln,check_pass,check_fails,totals,real_correct,real_incorrect,nonse_correct,nonse_incorrect,n_real,n_nonse,n,lextale_avg,lextale_tra
558aab19fdf99b65685f0142,learner,Midwest,I am not familiar with Spanish,no,1,0,90,28,32,16,14,60,30,90,50,0
55ce148b34e9060012e56279,learner,Northeast,I am not familiar with Spanish,no,1,0,90,22,38,16,14,60,30,90,45,-6
5630246f733ea0000f1633dd,learner,Midwest,United States,no,1,0,90,4,56,28,2,60,30,90,50,0
5658000ca9872d0011e1ba26,learner,Midwest,I am not familiar with Spanish,no,1,0,90,11,49,24,6,60,30,90,49.166666666666664,-1
565a4547c51d43000587507d,learner,Midwest,United States,no,1,0,90,36,24,23,7,60,30,90,68.33333333333334,22
56e6a66af6ed900006a5867c,learner,Midwest,United States,no,1,0,90,27,33,13,17,60,30,90,44.16666666666667,-7
5727aecae386b9000f4000cd,learner,South,I am not familiar with Spanish,no,1,0,90,1,59,29,1,60,30,90,49.16666666666667,-1
57901207c9abeb0001af353e,learner,Midwest,I am not familiar with Spanish,no,1,0,90,21,39,18,12,60,30,90,47.5,-3
5844812dc5bc3a0001a4d553,learner,East coast,Mexico,no,1,0,90,33,27,14,16,60,30,90,50.833333333333336,1
588e3172bc9f190001487eb8,learner,Midwest,Spain,no,1,0,90,34,26,15,15,60,30,90,53.33333333333333,4
58a5cf959e040a0001399f07,learner,Midwest,Spain,no,1,0,90,10,50,23,7,60,30,90,46.66666666666667,-4
58f0fca0d40252000192f201,learner,Northeast,United States,no,1,0,90,23,37,18,12,60,30,90,49.16666666666667,-1
59dba8575cddae0001ff0780,learner,Midwest,United States,no,1,0,90,23,37,16,14,60,30,90,45.833333333333336,-5
59dc458f77860e000151240e,learner,Midwest,United States,no,1,0,90,30,30,14,16,60,30,90,48.33333333333333,-2
59e91cebae9f950001d8466a,learner,Midwest,I am not familiar with Spanish,no,1,0,90,11,49,20,10,60,30,90,42.49999999999999,-9
5a0502cb517dfb00013db4a3,learner,Northeast,United States,no,1,0,90,22,38,17,13,60,30,90,46.666666666666664,-4
5a2e19cca3a512000195866a,learner,Midwest,United States,no,1,0,90,6,54,30,0,60,30,90,55,6
5acacdcd0527ba0001c24bad,learner,East coast,United States,no,1,0,90,27,33,15,15,60,30,90,47.5,-3
5adfbd52f6b58c0001fa8f3c,learner,South,I am not familiar with Spanish,no,1,0,90,25,35,20,10,60,30,90,54.166666666666664,5
