"","participant","sentence_type","n","correct_pct","lextale_avg","eq_score"
"1","558aab19fdf99b65685f0142","declarative-broad-focus",15,93.75,50,65
"2","558aab19fdf99b65685f0142","declarative-narrow-focus",15,93.75,50,65
"3","558aab19fdf99b65685f0142","interrogative-partial-wh",13,81.25,50,65
"4","558aab19fdf99b65685f0142","interrogative-total-yn",10,62.5,50,65
"5","55ce148b34e9060012e56279","declarative-broad-focus",16,100,45,31
"6","55ce148b34e9060012e56279","declarative-narrow-focus",14,87.5,45,31
"7","55ce148b34e9060012e56279","interrogative-partial-wh",14,87.5,45,31
"8","55ce148b34e9060012e56279","interrogative-total-yn",8,50,45,31
"9","5630246f733ea0000f1633dd","declarative-broad-focus",15,93.75,50,43
"10","5630246f733ea0000f1633dd","declarative-narrow-focus",16,100,50,43
"11","5630246f733ea0000f1633dd","interrogative-partial-wh",9,56.25,50,43
"12","5630246f733ea0000f1633dd","interrogative-total-yn",9,56.25,50,43
"13","5658000ca9872d0011e1ba26","declarative-broad-focus",16,100,49.1666666666667,52
"14","5658000ca9872d0011e1ba26","declarative-narrow-focus",16,100,49.1666666666667,52
"15","5658000ca9872d0011e1ba26","interrogative-partial-wh",10,62.5,49.1666666666667,52
"16","5658000ca9872d0011e1ba26","interrogative-total-yn",8,50,49.1666666666667,52
"17","565a4547c51d43000587507d","declarative-broad-focus",16,100,68.3333333333333,44
"18","565a4547c51d43000587507d","declarative-narrow-focus",14,87.5,68.3333333333333,44
"19","565a4547c51d43000587507d","interrogative-partial-wh",13,81.25,68.3333333333333,44
"20","565a4547c51d43000587507d","interrogative-total-yn",9,56.25,68.3333333333333,44
"21","56e6a66af6ed900006a5867c","declarative-broad-focus",13,81.25,44.1666666666667,35
"22","56e6a66af6ed900006a5867c","declarative-narrow-focus",12,75,44.1666666666667,35
"23","56e6a66af6ed900006a5867c","interrogative-partial-wh",8,50,44.1666666666667,35
"24","56e6a66af6ed900006a5867c","interrogative-total-yn",12,75,44.1666666666667,35
"25","5727aecae386b9000f4000cd","declarative-broad-focus",16,100,49.1666666666667,36
"26","5727aecae386b9000f4000cd","declarative-narrow-focus",16,100,49.1666666666667,36
"27","5727aecae386b9000f4000cd","interrogative-partial-wh",6,37.5,49.1666666666667,36
"28","5727aecae386b9000f4000cd","interrogative-total-yn",10,62.5,49.1666666666667,36
"29","57901207c9abeb0001af353e","declarative-broad-focus",13,81.25,47.5,67
"30","57901207c9abeb0001af353e","declarative-narrow-focus",14,87.5,47.5,67
"31","57901207c9abeb0001af353e","interrogative-partial-wh",7,43.75,47.5,67
"32","57901207c9abeb0001af353e","interrogative-total-yn",12,75,47.5,67
"33","5844812dc5bc3a0001a4d553","declarative-broad-focus",16,100,50.8333333333333,34
"34","5844812dc5bc3a0001a4d553","declarative-narrow-focus",16,100,50.8333333333333,34
"35","5844812dc5bc3a0001a4d553","interrogative-partial-wh",14,87.5,50.8333333333333,34
"36","5844812dc5bc3a0001a4d553","interrogative-total-yn",11,68.75,50.8333333333333,34
"37","588e3172bc9f190001487eb8","declarative-broad-focus",13,81.25,53.3333333333333,29
"38","588e3172bc9f190001487eb8","declarative-narrow-focus",11,68.75,53.3333333333333,29
